movie_id,rating_count,rating_sum,avg_rating,updated_at
1,49695,194866.000,3.921,2026-06-28 08:29:57.163683
2,22243,71444.000,3.212,2026-06-28 08:29:57.163683
3,12735,40128.500,3.151,2026-06-28 08:29:57.163683
4,2756,7886.000,2.861,2026-06-28 08:29:57.163683
5,12161,37268.500,3.065,2026-06-28 08:29:57.163683
6,23899,91651.000,3.835,2026-06-28 08:29:57.163683
7,12961,43633.000,3.366,2026-06-28 08:29:57.163683
8,1415,4446.000,3.142,2026-06-28 08:29:57.163683
9,3960,11899.500,3.005,2026-06-28 08:29:57.163683
10,29005,99488.000,3.430,2026-06-28 08:29:57.163683
11,18162,66613.000,3.668,2026-06-28 08:29:57.163683
12,3845,10073.000,2.620,2026-06-28 08:29:57.163683
13,1461,4781.000,3.272,2026-06-28 08:29:57.163683
14,6022,20668.000,3.432,2026-06-28 08:29:57.163683
15,2910,7921.000,2.722,2026-06-28 08:29:57.163683
16,17394,65879.000,3.787,2026-06-28 08:29:57.163683
17,20667,82018.500,3.969,2026-06-28 08:29:57.163683
18,5203,17553.000,3.374,2026-06-28 08:29:57.163683
19,20938,54594.000,2.607,2026-06-28 08:29:57.163683
20,4084,11765.000,2.881,2026-06-28 08:29:57.163683
21,24116,86376.000,3.582,2026-06-28 08:29:57.163683
22,9928,32955.000,3.319,2026-06-28 08:29:57.163683
23,4250,13380.000,3.148,2026-06-28 08:29:57.163683
24,7971,25506.000,3.200,2026-06-28 08:29:57.163683
25,21553,79520.000,3.690,2026-06-28 08:29:57.163683
26,2755,9997.500,3.629,2026-06-28 08:29:57.163683
27,1642,5605.000,3.414,2026-06-28 08:29:57.163683
28,3154,12797.500,4.058,2026-06-28 08:29:57.163683
29,8520,33673.000,3.952,2026-06-28 08:29:57.163683
30,1281,4655.000,3.634,2026-06-28 08:29:57.163683
31,9435,30667.000,3.250,2026-06-28 08:29:57.163683
32,44980,175334.500,3.898,2026-06-28 08:29:57.163683
33,65,195.500,3.008,2026-06-28 08:29:57.163683
34,32255,117508.000,3.643,2026-06-28 08:29:57.163683
35,1493,5228.000,3.502,2026-06-28 08:29:57.163683
36,20809,82044.000,3.943,2026-06-28 08:29:57.163683
37,85,256.500,3.018,2026-06-28 08:29:57.163683
38,552,1577.500,2.858,2026-06-28 08:29:57.163683
39,26254,89621.500,3.414,2026-06-28 08:29:57.163683
