movie_id,recall_score,rank_no,rating_count,avg_rating,updated_at
318,6.122520,1,63366,4.447,2026-06-28 08:29:57.163683
858,5.974505,2,41355,4.365,2026-06-28 08:29:57.163683
527,5.927748,3,50054,4.310,2026-06-28 08:29:57.163683
50,5.919281,4,47006,4.334,2026-06-28 08:29:57.163683
296,5.834269,5,67310,4.174,2026-06-28 08:29:57.163683
1221,5.824379,6,27398,4.276,2026-06-28 08:29:57.163683
2959,5.817280,7,40106,4.227,2026-06-28 08:29:57.163683
2571,5.811536,8,51334,4.187,2026-06-28 08:29:57.163683
260,5.806971,9,54502,4.191,2026-06-28 08:29:57.163683
1193,5.789796,10,29932,4.248,2026-06-28 08:29:57.163683
1198,5.787883,11,43295,4.219,2026-06-28 08:29:57.163683
593,5.784482,12,63299,4.177,2026-06-28 08:29:57.163683
1196,5.776484,13,45313,4.188,2026-06-28 08:29:57.163683
912,5.754760,14,24349,4.258,2026-06-28 08:29:57.163683
58559,5.744027,15,20438,4.220,2026-06-28 08:29:57.163683
904,5.738786,16,17449,4.271,2026-06-28 08:29:57.163683
750,5.734849,17,23220,4.247,2026-06-28 08:29:57.163683
2858,5.730668,18,44987,4.156,2026-06-28 08:29:57.163683
4993,5.726547,19,37553,4.138,2026-06-28 08:29:57.163683
1213,5.725318,20,26406,4.184,2026-06-28 08:29:57.163683
4226,5.717229,21,30443,4.179,2026-06-28 08:29:57.163683
7153,5.712103,22,31577,4.142,2026-06-28 08:29:57.163683
2019,5.700588,23,11611,4.274,2026-06-28 08:29:57.163683
1197,5.700023,24,32586,4.177,2026-06-28 08:29:57.163683
4973,5.694635,25,24349,4.197,2026-06-28 08:29:57.163683
1136,5.692027,26,33024,4.174,2026-06-28 08:29:57.163683
356,5.679767,27,66172,4.029,2026-06-28 08:29:57.163683
5952,5.677821,28,33947,4.108,2026-06-28 08:29:57.163683
1203,5.676023,29,12934,4.224,2026-06-28 08:29:57.163683
6016,5.674160,30,12937,4.235,2026-06-28 08:29:57.163683
608,5.668518,31,43272,4.112,2026-06-28 08:29:57.163683
5618,5.667837,32,13466,4.204,2026-06-28 08:29:57.163683
908,5.664286,33,15627,4.234,2026-06-28 08:29:57.163683
541,5.663229,34,30526,4.134,2026-06-28 08:29:57.163683
2324,5.658821,35,18156,4.176,2026-06-28 08:29:57.163683
2329,5.655387,36,23309,4.151,2026-06-28 08:29:57.163683
47,5.648030,37,43249,4.053,2026-06-28 08:29:57.163683
110,5.633553,38,53769,4.043,2026-06-28 08:29:57.163683
1252,5.629770,39,15310,4.200,2026-06-28 08:29:57.163683
2028,5.628445,40,37110,4.064,2026-06-28 08:29:57.163683
79132,5.623032,41,14023,4.156,2026-06-28 08:29:57.163683
1207,5.617669,42,14769,4.189,2026-06-28 08:29:57.163683
111,5.617240,43,24481,4.111,2026-06-28 08:29:57.163683
1208,5.611906,44,23090,4.109,2026-06-28 08:29:57.163683
1234,5.608034,45,14926,4.174,2026-06-28 08:29:57.163683
2762,5.607846,46,39028,4.055,2026-06-28 08:29:57.163683
7361,5.607389,47,22352,4.106,2026-06-28 08:29:57.163683
1089,5.605602,48,27635,4.089,2026-06-28 08:29:57.163683
922,5.597797,49,6525,4.257,2026-06-28 08:29:57.163683
1148,5.588980,50,15022,4.181,2026-06-28 08:29:57.163683
1201,5.585579,51,14496,4.123,2026-06-28 08:29:57.163683
7502,5.584863,52,4305,4.263,2026-06-28 08:29:57.163683
1214,5.584334,53,30933,4.042,2026-06-28 08:29:57.163683
1617,5.579429,54,26836,4.083,2026-06-28 08:29:57.163683
923,5.578651,55,17774,4.130,2026-06-28 08:29:57.163683
1210,5.575858,56,46839,4.005,2026-06-28 08:29:57.163683
903,5.575039,57,14094,4.148,2026-06-28 08:29:57.163683
293,5.574032,58,25804,4.051,2026-06-28 08:29:57.163683
913,5.573183,59,12144,4.187,2026-06-28 08:29:57.163683
1204,5.572291,60,12378,4.162,2026-06-28 08:29:57.163683
1219,5.570572,61,19649,4.077,2026-06-28 08:29:57.163683
1212,5.564093,62,6565,4.246,2026-06-28 08:29:57.163683
1704,5.559598,63,28324,4.033,2026-06-28 08:29:57.163683
1233,5.559360,64,13612,4.140,2026-06-28 08:29:57.163683
1,5.556726,65,49695,3.921,2026-06-28 08:29:57.163683
457,5.556112,66,49581,3.986,2026-06-28 08:29:57.163683
48516,5.553210,67,14309,4.110,2026-06-28 08:29:57.163683
44555,5.553081,68,5720,4.235,2026-06-28 08:29:57.163683
1172,5.545828,69,9100,4.154,2026-06-28 08:29:57.163683
1225,5.545234,70,20545,4.074,2026-06-28 08:29:57.163683
745,5.542387,71,12073,4.167,2026-06-28 08:29:57.163683
589,5.537711,72,52244,3.932,2026-06-28 08:29:57.163683
1291,5.532216,73,31280,4.008,2026-06-28 08:29:57.163683
1262,5.526078,74,10904,4.138,2026-06-28 08:29:57.163683
1258,5.523289,75,23410,4.012,2026-06-28 08:29:57.163683
1222,5.520092,76,21926,4.033,2026-06-28 08:29:57.163683
1200,5.518733,77,27206,4.006,2026-06-28 08:29:57.163683
3435,5.512135,78,4909,4.224,2026-06-28 08:29:57.163683
1247,5.511121,79,17039,4.074,2026-06-28 08:29:57.163683
3578,5.510519,80,32878,3.952,2026-06-28 08:29:57.163683
1270,5.507641,81,41426,3.924,2026-06-28 08:29:57.163683
1250,5.506947,82,12576,4.110,2026-06-28 08:29:57.163683
953,5.503616,83,14084,4.064,2026-06-28 08:29:57.163683
778,5.502954,84,23589,4.011,2026-06-28 08:29:57.163683
