movie_id,embedding_json,vector_norm,item_bias,positive_user_count,updated_at
1,"[-1.144406, 1.177908, 0.194939, 0.650671, -0.49748, 0.26615, 0.026646, -1.5423, -0.909875, 1.051091, 0.050655, 1.902029, 1.011576, 0.618558, 0.239375, 0.450645, 1.01254, 0.293934, 0.117783, -1.347055, -1.068779, 0.598828, 0.111912, 0.715619, -0.21616, -0.190224, 0.956847, 1.394635, 1.042822, 2.020219, -0.516615, -0.711962]",5.189129,1.840926,33258,2026-06-28 10:05:07.79297
2,"[0.171959, 0.571579, 0.736406, 0.706759, 1.04607, 0.376285, 0.501235, -1.250979, 0.695401, -0.015037, 0.79997, 0.482435, -0.218101, 0.704378, -1.207022, 0.103925, 0.606945, -0.39276, 0.940006, -0.7222, -0.012597, -0.213058, -0.741041, 0.300582, -0.600155, -0.242008, -0.717091, 0.484414, 0.295918, -0.164141, -0.016267, -0.364241]",3.441799,1.014155,7271,2026-06-28 10:05:07.79297
3,"[0.518723, 0.191871, -0.998629, 0.919456, 0.661035, 0.363721, -0.665723, -0.458997, 0.746113, -0.32678, 0.744247, 1.156144, 0.140583, 0.189577, 0.326621, 0.362956, 1.234525, 0.970681, 0.495651, -0.727511, 0.473225, -0.316884, -0.385851, -0.487529, -0.653643, 0.032049, -1.82051, 1.381934, -0.879721, 0.255114, 0.206233, -0.360155]",4.103106,0.204301,4009,2026-06-28 10:05:07.79297
4,"[0.46462, -1.010916, -0.191856, 0.470097, -0.396958, 0.80095, -0.011176, -0.766707, 0.321612, -0.417852, -0.173149, 0.155908, -0.145765, 0.257958, -0.376136, -0.515255, 1.371977, -0.373212, 1.032948, -1.884849, -0.121526, -0.272624, -1.051914, -0.912126, -0.214615, -1.083321, -1.29763, -0.515847, -0.796604, -0.859606, -0.290423, -1.184599]",4.290606,-0.741399,694,2026-06-28 10:05:07.79297
5,"[-0.1014, 0.374309, -0.238436, 0.259791, 0.327518, -0.280637, -0.178733, -0.625899, 0.462329, -0.145114, 0.198404, 0.999225, 0.481432, 0.54142, -0.142982, 0.082252, 1.216999, 1.054038, 1.305979, -0.873773, 0.694117, -1.067787, -0.681291, -0.233512, -0.355015, -0.503382, -1.107304, 0.898879, -0.985009, 0.015034, 0.214208, -0.586945]",3.699376,-0.184475,3282,2026-06-28 10:05:07.79297
6,"[-0.517421, -0.340578, -0.25994, 0.358385, 0.364692, -0.452139, -0.92231, -0.34318, -1.170946, 0.335556, -0.057785, 0.390556, -1.327041, 0.498075, 0.169765, 0.386868, 0.100154, 1.323799, 0.100755, 0.024072, -1.126585, 0.241631, 0.815444, 0.196944, -0.912259, 0.849061, -0.460107, 0.235921, -0.428869, -0.692171, 1.322486, -0.885432]",3.812317,1.366510,14979,2026-06-28 10:05:07.79297
7,"[0.050804, -0.260527, -1.08244, 0.011088, 0.450278, 0.389966, -1.192439, -0.491519, -0.788486, 0.111348, 0.393179, 0.680399, 0.431172, 0.772196, -0.426141, 0.194554, 0.799591, 0.746086, 0.603878, -0.278611, 0.86128, -1.283478, -1.002567, -0.846196, -0.029079, -0.016778, -0.700673, 0.282185, -0.593235, 0.515419, 0.125483, -0.836069]",3.628567,0.362162,5214,2026-06-28 10:05:07.79297
8,"[0.380462, 0.487889, 0.370703, 0.861039, 0.155901, 0.743301, 0.154608, -0.499362, 0.747314, 0.547554, -0.060779, -0.053641, -0.927836, 0.644576, -1.208101, -1.462518, 0.70125, 0.342509, 0.55668, -1.489368, -0.504099, -0.201121, -1.555609, 0.279042, -0.469947, -1.346724, -0.842045, 0.135248, -0.34892, 0.758916, -1.036291, -0.106589]",4.280850,-0.544215,431,2026-06-28 10:05:07.79297
9,"[0.615932, 1.077489, 0.040782, 0.008122, -0.453392, 0.873536, -0.16434, 0.023623, -0.743375, 0.402789, -0.644333, -0.627248, -0.382725, 0.697419, 0.081953, 0.503536, 1.51254, 1.388739, 0.930303, -1.050962, -0.346069, -0.448446, 0.291503, 0.092968, -1.203219, -0.765634, -1.645761, 0.662058, -1.278418, -0.053453, 0.371803, -0.257016]",4.310220,-0.901101,1016,2026-06-28 10:05:07.79297
10,"[-0.315056, 1.281656, 0.270875, 0.423032, 0.110539, -0.238349, 0.685599, -1.670931, -0.770716, -0.685645, -0.443204, -0.202587, -0.542577, -0.228772, -0.651165, -0.406554, 0.665866, 0.736101, 0.637727, 0.648374, -0.132934, -0.458617, 0.805865, -0.75242, -1.332802, 0.191873, -1.826878, -0.407921, -0.020899, 0.362733, 0.456476, -0.390081]",4.077794,0.991388,12116,2026-06-28 10:05:07.79297
